ref_date,geo,noc_code,noc_desc,job_char,total_vacancies,sentiment_score,predicted_total_vacancies
2019-01-01,Saskatchewan,1,"Business, finance and administration occupations","Type of work, all types",1145.0,1.826354,
2019-01-01,Saskatchewan,2,Natural and applied sciences and related occupations,Full-time,465.0,1.826354,
2019-01-01,Saskatchewan,2,Natural and applied sciences and related occupations,"Type of work, all types",485.0,1.826354,
2019-01-01,Saskatchewan,3,Health occupations,Full-time,305.0,1.826354,
2019-01-01,Saskatchewan,3,Health occupations,Part-time,280.0,1.826354,
2019-01-01,Saskatchewan,3,Health occupations,"Type of work, all types",585.0,1.826354,
2019-01-01,Saskatchewan,4,"Occupations in education, law and social, community and government services",Full-time,330.0,1.826354,
2019-01-01,Saskatchewan,4,"Occupations in education, law and social, community and government services",Part-time,445.0,1.826354,
2019-01-01,Saskatchewan,4,"Occupations in education, law and social, community and government services","Type of work, all types",775.0,1.826354,
2019-01-01,Saskatchewan,5,"Occupations in art, culture, recreation and sport","Type of work, all types",165.0,1.826354,
2019-01-01,Saskatchewan,6,Sales and service occupations,Full-time,1865.0,1.826354,
2019-01-01,Saskatchewan,6,Sales and service occupations,Part-time,1210.0,1.826354,
2019-01-01,Saskatchewan,6,Sales and service occupations,"Type of work, all types",3075.0,1.826354,
2019-01-01,Saskatchewan,7,"Trades, transport and equipment operators and related occupations",Full-time,1625.0,1.826354,
2019-01-01,Saskatchewan,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",1790.0,1.826354,
2019-01-01,Saskatchewan,8,"Natural resources, agriculture and related production occupations",Full-time,520.0,1.826354,
